date,open,high,low,close,volume,oi
05/31/1991,114.83,114.83,113.84,114.83,1211,0
06/03/1991,115.9,115.97,114.89,115.97,954,0
06/04/1991,117.12,117.12,116.83,117.12,3603,0
06/05/1991,118.17,118.17,117.14,118.17,308,0
06/06/1991,119.26,119.35,118.17,119.35,266,0
06/07/1991,120.46,120.47,119.35,120.47,100,0
06/10/1991,121.65,121.67,120.47,121.67,400,0
06/11/1991,122.89,122.89,121.67,122.89,543,0
06/12/1991,123.9,124.11,122.89,124.11,1372,0
06/13/1991,125.33,125.34,123.65,125.34,20868,0
06/14/1991,124.47,126.34,124.47,124.53,6633,0
06/17/1991,125.63,125.77,123.54,125.77,6933,0
06/18/1991,127.03,127.03,126.67,127.03,2030,0
06/19/1991,128.12,128.29,127.03,128.29,1481,0
06/20/1991,129.55,129.57,129.21,129.57,2299,0
06/21/1991,130.72,130.86,128.81,130.86,13613,0
06/24/1991,132.1,132.17,131.8,132.17,1960,0
06/25/1991,133.48,133.49,132.17,133.49,1624,0
06/26/1991,134.83,134.83,133.49,134.83,3409,0
06/27/1991,136.04,136.19,134.83,136.19,4497,0
06/28/1991,137.41,137.56,136.19,137.56,4935,0
07/01/1991,136.64,138.62,136.56,136.85,22940,0
07/02/1991,135.91,135.96,135.69,135.96,2838,0
07/03/1991,135.28,135.96,134.98,135.27,2715,0
07/04/1991,136.63,136.63,134.19,136.63,13394,0
07/05/1991,136.01,137.68,135.9,135.96,14540,0
07/08/1991,135.26,135.28,134.93,135.28,5874,0
07/09/1991,136.56,136.57,134.31,134.64,8442,0
07/10/1991,134.4,135.6,133.72,133.99,6023,0
07/11/1991,133.22,133.99,133.13,133.38,5073,0
07/12/1991,132.8,133.38,132.42,132.8,3144,0
07/15/1991,133.9,134.1,131.87,133.14,11938,0
07/16/1991,134.39,134.47,133.14,134.47,2796,0
07/17/1991,135.81,135.81,135.39,135.81,660,0
07/18/1991,137.17,137.17,135.81,137.17,847,0
07/19/1991,137.66,138.54,136.66,136.7,10823,0
07/22/1991,138.07,138.07,136.7,138.07,2764,0
07/23/1991,139.35,139.39,138.07,139.39,7241,0
07/24/1991,140.66,140.74,138.69,140.68,5988,0
07/25/1991,140.2,141.01,139.99,140.19,8390,0
07/26/1991,140.11,141.46,139.27,140.66,9279,0
07/29/1991,141.22,141.72,140.81,141.52,4771,0
07/30/1991,142.39,142.45,141.39,142.39,5601,0
07/31/1991,143.72,143.8,142.39,143.8,4051,0
08/01/1991,145.12,145.24,143.8,145.24,4731,0
08/02/1991,146.49,146.68,145.44,146.68,11744,0
08/05/1991,148.06,148.15,146.68,148.15,5126,0
08/06/1991,149.62,149.62,148.15,149.62,2001,0
08/07/1991,150.93,151.12,149.62,151.12,1107,0
08/08/1991,152.57,152.61,151.12,152.61,1951,0
08/09/1991,153.9,154.1,152.61,154.1,3715,0
08/12/1991,155.34,155.54,154.1,155.54,3919,0
08/13/1991,156.87,157.07,155.54,157.07,20039,0
08/14/1991,158.3,158.63,158.11,158.63,5480,0
08/15/1991,159.92,160.21,158.63,160.21,1537,0
08/16/1991,161.56,161.6,160.21,161.6,984,0
08/19/1991,163.21,163.21,161.6,163.21,985,0
08/20/1991,164.74,164.84,163.21,164.84,573,0
08/21/1991,166.49,166.49,164.84,166.49,3411,0
08/22/1991,167.81,168.16,166.49,168.16,1296,0
08/23/1991,169.81,169.81,168.16,169.81,605,0
08/26/1991,171.51,171.51,169.81,171.51,643,0
08/27/1991,173.06,173.19,171.51,173.19,796,0
08/28/1991,174.82,174.92,173.19,174.92,804,0
08/29/1991,176.53,176.66,174.92,176.66,2608,0
08/30/1991,178.2,178.43,176.66,178.43,6759,0
09/02/1991,180.08,180.22,178.43,180.22,1408,0
09/03/1991,181.71,181.97,180.22,181.97,1475,0
09/04/1991,183.66,183.69,181.97,183.69,650,0
09/05/1991,185.48,185.51,183.69,185.51,1514,0
09/06/1991,187.09,187.36,185.51,187.36,2765,0
09/09/1991,189.1,189.24,187.36,189.24,3552,0
09/10/1991,190.98,190.98,188.19,188.33,33434,0
09/11/1991,187.29,187.29,186.86,187.22,21392,0
09/12/1991,186.22,187.4,186.07,186.22,19699,0
09/13/1991,188,188.04,185.01,187.79,37434,0
09/16/1991,189.55,189.66,187.79,189.66,9933,0
09/17/1991,191.16,191.18,188.28,188.65,28829,0
09/18/1991,187.26,188.59,187.18,187.63,15822,0
09/19/1991,187.65,189.21,186.49,186.88,23439,0
09/20/1991,185.77,187.21,185.66,185.92,12075,0
09/23/1991,185,185.92,184.71,185,4034,0
09/24/1991,183.96,185.04,183.69,184.08,1426,0
09/25/1991,182.8,184.08,182.8,183.19,1389,0
09/26/1991,182.21,183.19,181.93,182.33,6541,0
09/27/1991,183.12,183.89,181.19,181.82,33728,0
09/30/1991,180.28,181.95,180.27,180.92,25594,0
10/03/1991,181.55,182.48,179.8,182.48,18741,0
10/04/1991,184.29,184.29,183.59,184.29,7360,0
10/07/1991,185.95,186,185.41,186,11369,0
10/08/1991,187.59,187.61,186,187.49,23745,0
